"Militarization, Global Peace Index","Societal safety and security, Global Peace Index",Political Rights (Freedom House),Civil Liberties (Freedom House)
2.425,4.178,6,6
1.751,2.54,3,3
2.176,2.447,6,5
na,na,1,1
1.788,2.831,6,6
na,na,2,2
1.572,2.439,2,2
1.955,2.297,5,4
1.646,1.587,1,1
1.375,1.39,1,1
2.27,2.596,7,6
na,na,1,1
2.091,2.866,7,6
na,na,4,4
na,na,1,1
2.012,2.494,7,6
1.587,1.844,1,1
na,na,1,2
2.052,2.482,2,2
1.233,1.658,3,4
2.018,2.587,3,3
1.544,2.468,4,4
1.641,2.113,3,2
2.229,3.118,2,2
na,na,6,5
1.662,2.098,2,2
1.917,2.687,4,3
1.844,3.494,7,6
2.034,2.599,6,5
1.767,2.953,6,6
1.567,1.491,1,1
na,na,1,1
2.142,3.976,7,7
2.211,3.036,7,6
1.601,2.074,1,1
2.043,2.513,7,6
2.106,3.561,3,3
na,na,3,4
2.28,2.945,7,6
1.705,2.105,1,1
2.038,2.922,4,4
1.649,1.855,1,2
1.556,2.537,7,6
1.599,2.333,1,1
1.283,1.651,1,1
2.196,3.682,na,na
1.379,1.347,1,1
2.308,2.596,6,5
1.886,2.81,3,3
na,na,na,na
1.583,2.593,3,4
na,na,6,5
1.771,3.147,2,3
1.849,2.424,7,7
1.785,3.393,7,7
1.49,2.036,1,1
1.761,2.704,7,6
na,na,3,4
2.004,1.468,1,1
2.676,1.934,1,2
1.84,2.544,6,5
1.663,2.675,6,6
1.772,2.447,3,3
1.872,1.646,1,1
1.711,2.13,1,2
2.144,2.072,2,2
na,na,1,2
1.727,3.049,4,4
2.187,2.957,5,5
2.119,2.607,5,5
1.527,2.793,2,3
1.5,2.672,5,5
1.677,3.093,4,4
1.131,1.743,3,2
1.009,1.232,1,1
2.447,2.4,2,3
1.398,2.258,2,4
1.996,2.656,6,6
2.625,4.318,5,6
1.34,1.604,1,1
na,na,1,2
1.965,2.166,1,1
1.804,2.935,2,3
1.425,1.384,1,1
2.05,2.429,5,5
1.765,2.463,7,5
1.724,2.821,4,4
na,na,1,1
1.53,2.459,3,4
1.993,2.274,5,5
1.878,2.567,5,5
1.676,2.205,7,6
1.368,2.011,1,2
2.296,3.101,5,4
1.771,2.607,3,3
1.884,2.568,3,4
2.674,3.798,7,6
na,na,2,1
1.636,2.012,1,1
na,na,1,1
1.791,2.582,4,3
1.55,2.243,3,4
1.847,2.17,3,3
1.355,2.253,4,4
na,na,5,5
2.106,3.046,5,4
na,na,1,1
na,na,1,1
2.104,3.086,6,5
1.43,2.049,1,2
1.716,3.266,3,3
na,na,1,1
1.28,2.416,3,3
na,na,3,1
1.539,2.394,1,2
1.504,2.618,3,3
1.78,2.295,5,4
1.782,2.484,4,4
1.704,2.378,5,5
1.724,2.404,2,2
na,na,2,2
1.864,2.7,3,4
2.115,1.545,1,1
1.294,1.38,1,1
1.714,2.658,5,4
1.897,2.884,4,4
1.774,3.376,3,5
3.231,3.109,7,7
2.258,1.249,1,1
2.721,2.075,6,5
2.511,3.09,4,5
2.265,3.071,1,1
1.504,2.522,2,2
1.845,2.788,3,3
1.691,2.427,3,3
1.641,2.651,2,3
1.644,2.997,3,3
1.548,1.948,1,2
1.253,1.431,1,1
2,1.861,6,5
1.823,1.923,2,2
3.277,3.219,7,6
1.691,2.774,6,6
na,na,na,na
na,na,2,2
2.68,2.554,7,7
1.481,2.259,2,2
1.721,2.194,3,2
na,na,3,3
1.536,2.139,3,3
2.15,1.612,4,4
1.45,1.848,1,1
1.185,1.411,1,1
,,3,2
2.275,3.95,7,7
1.707,3.264,2,2
2.048,1.673,2,2
2.344,4.207,7,7
1.856,1.834,1,1
2.074,2.343,3,4
na,na,na,na
na,na,na,na
na,na,na,na
2.289,3.709,7,7
na,na,2,3
1.575,2.74,7,5
2.152,1.373,1,1
2.015,1.305,1,1
3.1,4.237,7,7
1.886,1.873,1,1
1.858,2.555,7,6
1.451,2.5,3,4
1.502,2.912,6,5
na,na,na,na
1.792,2.452,4,4
1.889,2.948,2,2
na,na,1,3
2.088,3.102,4,5
2.118,2.759,7,7
na,na,1,1
1.816,2.709,6,5
2.534,3.34,3,3
2.386,2.089,6,6
3.045,2.117,1,1
1.607,2.335,1,1
1.871,2.559,7,7
na,na,2,2
2.234,3.574,6,5
2.08,2.232,7,5
2.44,4.013,7,6
1.777,2.273,4,4
2.063,2.963,5,5
